Format Version,1.23,Take Name,Take 2019-05-30 01.08.46 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-05-30 01.17.24.067 PM,Total Frames in Take,25912,Total Exported Frames,25912,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.047918,0.777355,-0.549750,0.301990,35.806129,11.719351,497.814178
1,0.008333,-0.060117,0.777847,-0.544630,0.307762,35.922722,11.538934,497.875275
2,0.016667,-0.048595,0.778553,-0.544900,0.307535,35.874474,11.753576,497.901978
3,0.025000,-0.047568,0.778900,-0.543638,0.309047,35.889130,11.808925,497.957458
4,0.033333,,,,,,,
5,0.041667,-0.042291,0.774086,-0.550341,0.310045,35.988976,11.902647,497.992523
6,0.050000,-0.041256,0.773701,-0.550225,0.311346,36.004459,11.930908,498.025787
7,0.058333,-0.026436,0.746374,-0.586927,0.312641,35.842793,11.789829,498.510071
8,0.066667,-0.026466,0.746702,-0.586774,0.312141,35.839157,11.815124,498.515991
9,0.075000,-0.026394,0.746453,-0.588756,0.308995,35.785942,11.809736,498.516144
10,0.083333,-0.027574,0.748263,-0.585041,0.311558,35.849228,11.802730,498.436737
11,0.091667,-0.024471,0.743454,-0.591505,0.311128,35.864933,11.687766,498.435547
12,0.100000,-0.048188,0.771507,-0.555203,0.306927,35.915737,11.991761,497.835541
