animal,day,Condition,Filepath
AG,1,SD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day01_SD/Take 2019-12-22 04.01.06 AM-REST-frozen at some time.fbx
AG,1,SD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day01_SD/Take 2019-12-22 08.11.07 AM-SD.fbx
AG,1,SD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day01_SD/Take 2019-12-22 01.18.30 PM-TRACK1.fbx
AG,1,SD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day01_SD/Take 2019-12-22 01.30.57 PM-TRACK3.fbx
AG,1,SD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day01_SD/Take 2019-12-22 03.00.03 PM-POST.fbx
AG,2,NSD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day02_NSD/Take 2019-12-23 04.58.15 AM-REST.fbx
AG,2,NSD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day02_NSD/Take 2019-12-23 08.04.21 AM-NSD.fbx
AG,2,NSD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day02_NSD/Take 2019-12-23 01.42.50 PM-TRACK.fbx
AG,2,NSD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day02_NSD/Take 2019-12-23 02.59.02 PM-POST.fbx
AG,2,NSD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day02_NSD/Take 2019-12-23 03.45.01 PM-POST.fbx
AG,2,NSD,/data/EphysAnalysis/SleepDeprivationData/RAT_05_AG/Day02_NSD/Take 2019-12-23 03.48.45 PM-POST.fbx
